filename,video-duration,fps,video-frames
v__rrJbjpCOXs.mp4,197.26666666666668,30.0,5918
v_EpMbu7EIYf0.mp4,286.03333333333336,30.0,8581
v_hTTcCbxQS98.mp4,495.73333333333335,30.0,14872
v_g5qy84ftuIw.mp4,413.4,30.0,12402
v_ZcsshMf0NTI.mp4,351.6333333333333,30.0,10549
v_Acqpfz6lQc4.mp4,467.6666666666667,30.0,14030
v_nbiOaHaKuKs.mp4,179.66666666666666,30.0,5390
v_hnxHxJ1BKXA.mp4,331.96666666666664,30.0,9959
v_WRtoMalV4Zo.mp4,537.2333333333333,30.0,16117
v_kj5y_71bsJM.mp4,215.16666666666666,30.0,6455
v_7PATXwoKFeI.mp4,237.76666666666668,30.0,7133
v_bFoIJCDEqGw.mp4,326.3,30.0,9789
v_WcNepcoPYmA.mp4,223.63333333333333,30.0,6709
v_mer7ECSKflk.mp4,299.46666666666664,30.0,8984
v_xOWHUi9fdBs.mp4,208.96666666666667,30.0,6269
v_2VzLjiTGU9g.mp4,221.96666666666667,30.0,6659
v_UoP9ZJKqAh4.mp4,232.63333333333333,30.0,6979
v_nUq_ZTqMbFI.mp4,246.96666666666667,30.0,7409
v_BX5zMlnyq5k.mp4,156.2,30.0,4686
v_Ck3oNHsLqfk.mp4,378.7,30.0,11361
v_PqyqB_FkWrQ.mp4,328.0,30.0,9840
v_LEqqsROtG-I.mp4,202.33333333333334,30.0,6070
v_yLJMpYQg_gA.mp4,365.1,30.0,10953
v_gC5pQUpJBtM.mp4,308.6,30.0,9258
v_zbOnhbcikz0.mp4,482.93333333333334,30.0,14488
v_LnlYlMuX1Cc.mp4,348.9,30.0,10467
v_Sh33vaPTI0Q.mp4,324.1,30.0,9723
v_GmWb7W7m2vs.mp4,428.76666666666665,30.0,12863
v_KbigOSh4b7I.mp4,290.6666666666667,30.0,8720
v_7PgQgF5KLTs.mp4,208.4,30.0,6252
v_t9ry6TkD598.mp4,179.96666666666667,30.0,5399
v_Y9tnBIxTbnw.mp4,542.3,30.0,16269
v_5RZ2wO2IH54.mp4,112.6,30.0,3378
v_0lkjIf5hZT4.mp4,150.86666666666667,30.0,4526
v_FiE1KczH4pc.mp4,359.73333333333335,30.0,10792
v_BK80fNF9ysI.mp4,306.0,30.0,9180
v_Zi0Ou5dfsWs.mp4,501.53333333333336,30.0,15046
v_7nH0Y3agsas.mp4,218.23333333333332,30.0,6547
v_x2O99s2EOXg.mp4,333.1666666666667,30.0,9995
v_vpRz4jPFCmo.mp4,313.76666666666665,30.0,9413
v_iPJmzCZ3uwo.mp4,131.2,30.0,3936
v_a3ZvOvo49WE.mp4,604.3,30.0,18129
v_NB-5FHq_vL4.mp4,782.7,30.0,23481
v_YnSPiFBZiRI.mp4,269.8333333333333,30.0,8095
v_XeXQ23fgS38.mp4,183.03333333333333,30.0,5491
v_3XKJ07sLiPE.mp4,211.36666666666667,30.0,6341
v_obixe3__Sjk.mp4,277.46666666666664,30.0,8324
v_A68bBM_5wUY.mp4,603.9666666666667,30.0,18119
v_29aDIi7qxXY.mp4,526.2333333333333,30.0,15787
v_jRdA68GbUMg.mp4,385.3,30.0,11559
v_khmRPBMz6do.mp4,349.8666666666667,30.0,10496
v_nQLUK4aKsg0.mp4,151.56666666666666,30.0,4547
v_mrHTodOjHOc.mp4,418.56666666666666,30.0,12557
v_HJBQ-NgQ9T0.mp4,455.7,30.0,13671
v_VswrGW9b3ck.mp4,102.5,30.0,3075
v_u8mJfN9TBkY.mp4,288.93333333333334,30.0,8668
v_MCs2_Ih0PZA.mp4,142.66666666666666,30.0,4280
v_XrhAUrmnjaA.mp4,310.23333333333335,30.0,9307
v_XudXzmE1E80.mp4,179.93333333333334,30.0,5398
v_yDZvPCG51zw.mp4,213.46666666666667,30.0,6404
v_nWGpCmDlNU4.mp4,246.86666666666667,30.0,7406
v_r4VSQuNE6D4.mp4,236.1,30.0,7083
v_Amc5E5Pmqyc.mp4,296.8,30.0,8904
v_EizSoy7Ztto.mp4,297.43333333333334,30.0,8923
v_MQxsZgxODww.mp4,239.26666666666668,30.0,7178
v_Lky6MPtNJto.mp4,331.53333333333336,30.0,9946
v_6jwKyMXHY1I.mp4,83.1,30.0,2493
v_P7bsYTDILps.mp4,274.96666666666664,30.0,8249
v_4TjB1J4QoUQ.mp4,396.26666666666665,30.0,11888
v_seLgqS2A_y0.mp4,259.2,30.0,7776
v_xp899pkRCew.mp4,220.83333333333334,30.0,6625
v_lSq6y2F35ig.mp4,232.7,30.0,6981
